comment_id,content,creation_time,score,comment_type,clean_content,topic_1_prob,topic_2_prob,topic_3_prob
jd21848479444,我对味道比较敏感，但是这个枇杷露的气味很淡，微甜，不需要冲水，我都能喝下去！不像以前买的枇杷膏有刺鼻的味道，配料表的有效成分也是一样的，强力推荐这个枇杷露！,2024-11-26 23:38:24,5,好评,我对味道比较敏感但是这个枇杷露的气味很淡微甜不需要冲水我都能喝下去不像以前买的枇杷膏有刺鼻的味道配料表的有效成分也是一样的强力推荐这个枇杷露,0.66402423,0.16796203,0.16801369
jd22179613733,我丈夫非常喜欢我给他买的这款饮料，还分享给单位同事喝。大家都很喜欢，纷纷种草，很多人已经回购了。下次还会再来购买。非常满意呀,2025-01-12 11:12:53,5,好评,我丈夫非常喜欢我给他买的这款饮料还分享给单位同事喝大家都很喜欢纷纷种草很多人已经回购了下次还会再来购买非常满意呀,0.1679884,0.16794874,0.6640626
jd21777604976,四君子汤挺不错的，茶汤喝起来很清爽，茶包里的原材料看起来都是高品质的，很完整不是那种碎渣，每天一杯，好喝又能祛除湿气。,2024-11-13 21:11:41,5,好评,四君子汤挺不错的茶汤喝起来很清爽茶包里的原材料看起来都是高品质的很完整不是那种碎渣每天一杯好喝又能祛除湿气,0.16798724,0.16794729,0.66406584
jd21220203068,相信品牌的力量，正品防伪二维码，黄芪党参豆浆粉的口感非常细腻，味道浓郁，很好喝。既有豆香温润，又有黄芪党参的滋补，还富含多种营养物质 ！,2024-08-19 19:52:19,5,好评,相信品牌的力量正品防伪二维码黄芪党参豆浆粉的口感非常细腻味道浓郁很好喝既有豆香温润又有黄芪党参的滋补还富含多种营养物质 ,0.16804221,0.6639027,0.16805555
jd21560033283,长期在喝，原料特别干净，都是大颗的整料，口感挺不错的，配比很科学，长期喝对身体好，美容养血现在脸上红润多了，推荐给身边好几个朋友也都买了。,2024-10-15 01:57:24,5,好评,长期在喝原料特别干净都是大颗的整料口感挺不错的配比很科学长期喝对身体好美容养血现在脸上红润多了推荐给身边好几个朋友也都买了,0.6640242,0.1679625,0.16801344
jd21793841782,包装很严实，打开外盒里面都是按食材独立袋装的，很干净卫生，袋装里面是独立茶包袋，确实是看得见的好品质，每一个茶包都是完整、颗大的食材，煮起来也很方便，还不用过滤碎渣。,2024-11-16 15:05:31,5,好评,包装很严实打开外盒里面都是按食材独立袋装的很干净卫生袋装里面是独立茶包袋确实是看得见的好品质每一个茶包都是完整颗大的食材煮起来也很方便还不用过滤碎渣,0.66402775,0.16796024,0.16801265
jd21778038518,很大一盒，里面按原料分成了不同的四包，这下不用再担心弄混了，茶包可以看见里面的原料都挺完整的，还是北京同仁堂品牌，真材实料品质更有保障!,2024-11-13 22:13:58,5,好评,很大一盒里面按原料分成了不同的四包这下不用再担心弄混了茶包可以看见里面的原料都挺完整的还是北京同仁堂品牌真材实料品质更有保障,0.16798781,0.16795066,0.6640612
jd21560057580,年中去体检，医生说我吃凉的太多，对脾胃伤害很大，让我吃点这个补元气的，喝这个四宝茶以后有明显改善，脸色也好看了，会持续一直喝,2024-10-15 02:26:21,5,好评,年中去体检医生说我吃凉的太多对脾胃伤害很大让我吃点这个补元气的喝这个四宝茶以后有明显改善脸色也好看了会持续一直喝,0.16798653,0.16794716,0.6640655
jd21539061536,以前容易困乏，但是喝这个补气感觉还有一定的提神效果，最近精神状态都好了很多了，所以补到位了确实是能感受到的，状态都不一样了，材料干净品质相当好，喝着十分放心。,2024-10-11 01:35:34,5,好评,以前容易困乏但是喝这个补气感觉还有一定的提神效果最近精神状态都好了很多了所以补到位了确实是能感受到的状态都不一样了材料干净品质相当好喝着十分放心,0.16798927,0.16795063,0.66405994
jd21373741813,包装很好，都是一小包装的，用的料也很多，每次泡上一包就可以了，甜甜的口感，喝完我小肚子都暖暖的很舒服,2024-09-16 23:03:12,5,好评,包装很好都是一小包装的用的料也很多每次泡上一包就可以了甜甜的口感喝完我小肚子都暖暖的很舒服,0.16804336,0.6639015,0.16805571
jd21777902997,经常爱吃一些冰的辣的东西，也不爱运动，时间长了就虚胖湿气重，爱喝四君子汤后，现在精气神好了很多，饭量也正常了，整个人都比以前更轻松舒爽了,2024-11-13 21:53:32,5,好评,经常爱吃一些冰的辣的东西也不爱运动时间长了就虚胖湿气重爱喝四君子汤后现在精气神好了很多饭量也正常了整个人都比以前更轻松舒爽了,0.16804338,0.663899,0.16805694
jd21777715437,早晚一杯，非常适合我这种久坐办公室的打工人，最近一直在喝，祛湿排毒的效果蛮不错的，以前早上起来经常水肿的很严重，现在不会了，人也轻松了很多,2024-11-13 21:26:20,5,好评,早晚一杯非常适合我这种久坐办公室的打工人最近一直在喝祛湿排毒的效果蛮不错的以前早上起来经常水肿的很严重现在不会了人也轻松了很多,0.1680425,0.66390043,0.16805732
jd21560061769,气血虚，浑身没劲儿，邻居都推荐我喝点补一补，料很足，都是真材实料，而且独立包装，气色比以前好了很多，原材都看得见没有杂质，睡觉也比以前睡得香了,2024-10-15 02:31:09,5,好评,气血虚浑身没劲儿邻居都推荐我喝点补一补料很足都是真材实料而且独立包装气色比以前好了很多原材都看得见没有杂质睡觉也比以前睡得香了,0.1679876,0.16794883,0.6640639
jd21560053571,元气四宝茶材料是真的足，没有碎碎**，感觉效果也很好，特别是气短怕冷的情况，好很多。元气四宝药材品质很好，已经喝上了，对改善脸黄还有睡眠的问题，确实是有效果的。真材实料，真的是挺滋补的!,2024-10-15 02:17:36,5,好评,元气四宝茶材料是真的足没有碎碎感觉效果也很好特别是气短怕冷的情况好很多元气四宝药材品质很好已经喝上了对改善脸黄还有睡眠的问题确实是有效果的真材实料真的是挺滋补的,0.1680426,0.66390127,0.16805676
jd21560053402,我喝着效果挺不错的，脸色不再像之前那样蜡黄暗沉了，变得红润了，而且来经期的时候腹部没有以前那么痛了，姨妈量也变多了。因为这款茶我现在变得爱喝水了，看来食补效果还是蛮好的，很不错，好评。,2024-10-15 02:21:22,5,好评,我喝着效果挺不错的脸色不再像之前那样蜡黄暗沉了变得红润了而且来经期的时候腹部没有以前那么痛了姨妈量也变多了因为这款茶我现在变得爱喝水了看来食补效果还是蛮好的很不错好评,0.1679876,0.16794856,0.6640635
jd21539035766,品质挺好的，干净无杂质，冲泡很方便，喝起来口感还不错，经常性熬夜，用来补气的，养生茶坚持喝一定对身体有好处的,2024-10-11 01:18:42,5,好评,品质挺好的干净无杂质冲泡很方便喝起来口感还不错经常性熬夜用来补气的养生茶坚持喝一定对身体有好处的,0.16798717,0.16795099,0.6640625
jd21393536126,朋友推荐过来的，要补气血就选四宝汤噢，党参，黄芪，西洋参，麦冬，冲泡很方便，喝着甘甜可口，而且很补气血！从没想过这么实惠的价格，能买到这么好的宝贝，性价比非常高，我很喜欢哦！,2024-09-20 23:06:21,5,好评,朋友推荐过来的要补气血就选四宝汤噢党参黄芪西洋参麦冬冲泡很方便喝着甘甜可口而且很补气血从没想过这么实惠的价格能买到这么好的宝贝性价比非常高我很喜欢哦,0.16798806,0.16794942,0.6640626
jd21373770881,精挑细选的挑中了这款，果然没有失望，药材品质很高，很干净，黄芪和西洋参都是补气的，气血补好了，人也舒服好多。,2024-09-16 23:14:31,5,好评,精挑细选的挑中了这款果然没有失望药材品质很高很干净黄芪和西洋参都是补气的气血补好了人也舒服好多,0.66402525,0.16796103,0.16801421
jd21372320129,"动不动就出汗，多的跟一滩水一样，还老是口渴，晚上睡梦多，白天还老困，一直以为是正常，前段时间看了中医，医生让我平时喝点四宝茶养养，原本打算买药材，自己熬，发现这种药袋泡茶更方便，里面药材很干净，物流也很快，很满意，吃了一段时间，真的有效果，出汗有
改善，而且没有那么渴了，以前光喝水不解渴，问了客服，说是有补气生津效果，这两天睡得好，感觉气色都好了很多",2024-09-16 16:24:32,5,好评,动不动就出汗多的跟一滩水一样还老是口渴晚上睡梦多白天还老困一直以为是正常前段时间看了中医医生让我平时喝点四宝茶养养原本打算买药材自己熬发现这种药袋泡茶更方便里面药材很干净物流也很快很满意吃了一段时间真的有效果出汗有 改善而且没有那么渴了以前光喝水不解渴问了客服说是有补气生津效果这两天睡得好感觉气色都好了很多,0.11192717,0.11190357,0.77616847
